
"2025-03-16 15:46:20,Lima,18\u00baC" 
"2025-03-16 15:46:21,Lima,19\u00baC" 
"2025-03-16 15:46:22,Lima,12\u00baC" 
"2025-03-16 15:46:23,Bogota,13\u00baC" 
"2025-03-16 15:46:24,Quito,11\u00baC" 
"2025-03-16 15:46:25,Quito,20\u00baC" 
"2025-03-16 15:46:26,Lima,10\u00baC" 
"2025-03-16 15:46:27,Quito,20\u00baC" 
"2025-03-16 15:46:28,Quito,18\u00baC" 
"2025-03-16 15:46:20,Lima,18\u00baC" 
"2025-03-16 15:46:21,Lima,19\u00baC" 
"2025-03-16 15:46:22,Lima,12\u00baC" 
"2025-03-16 15:46:23,Bogota,13\u00baC" 
"2025-03-16 15:46:24,Quito,11\u00baC" 
"2025-03-16 15:46:25,Quito,20\u00baC" 
"2025-03-16 15:46:26,Lima,10\u00baC" 
"2025-03-16 15:46:27,Quito,20\u00baC" 
"2025-03-16 15:46:28,Quito,18\u00baC" 
"2025-03-16 15:49:03,Bogota,17\u00baC" 
"2025-03-16 15:49:04,Lima,18\u00baC" 
"2025-03-16 15:49:05,Bogota,20\u00baC" 
"2025-03-16 15:49:06,Quito,12\u00baC" 
"2025-03-16 15:49:07,Quito,12\u00baC" 
"2025-03-16 15:49:08,Bogota,14\u00baC" 
"2025-03-16 15:49:09,Lima,10\u00baC" 
"2025-03-16 15:49:10,Quito,19\u00baC" 
"2025-03-16 15:49:11,Quito,11\u00baC" 
"2025-03-16 21:10:52,Lima,19\u00baC" 
"2025-03-16 21:10:53,Bogota,12\u00baC" 
"2025-03-16 21:10:54,Quito,20\u00baC" 
"2025-03-16 21:10:55,Quito,12\u00baC" 
"2025-03-16 21:10:56,Bogota,20\u00baC" 
"2025-03-16 21:10:57,Quito,20\u00baC" 
"2025-03-16 21:10:58,Bogota,11\u00baC" 
"2025-03-16 21:10:59,Bogota,10\u00baC" 
"2025-03-16 21:11:00,Quito,18\u00baC" 
